approach,level,region,year,target,value
bottom_up,region,Київ,2025,divorce,21945.347109663755
bottom_up,region,Київ,2026,divorce,22134.77282942034
bottom_up,region,Київська,2022,divorce,14070.345048585814
bottom_up,region,Київська,2023,divorce,14302.517455415074
bottom_up,region,Київська,2024,divorce,14534.689862244333
bottom_up,region,Київська,2025,divorce,14766.862269073594
bottom_up,region,Київська,2026,divorce,14999.034675902853
bottom_up,region,Кіровоградська,2022,divorce,6095.906091608613
bottom_up,region,Кіровоградська,2023,divorce,6139.328746985703
bottom_up,region,Кіровоградська,2024,divorce,6182.751402362793
bottom_up,region,Кіровоградська,2025,divorce,6226.174057739883
bottom_up,region,Кіровоградська,2026,divorce,6269.596713116973
bottom_up,region,Луганська,2022,divorce,3854.904221735703
bottom_up,region,Луганська,2023,divorce,3583.8084383915366
bottom_up,region,Луганська,2024,divorce,3312.712655047371
bottom_up,region,Луганська,2025,divorce,3041.6168717032047
bottom_up,region,Луганська,2026,divorce,2770.5210883590385
bottom_up,region,Львівська,2022,divorce,12572.450368359438
bottom_up,region,Львівська,2023,divorce,12765.889502215217
bottom_up,region,Львівська,2024,divorce,12959.328636070999
bottom_up,region,Львівська,2025,divorce,13152.767769926779
bottom_up,region,Львівська,2026,divorce,13346.206903782559
bottom_up,region,Миколаївська,2022,divorce,7655.328010538543
bottom_up,region,Миколаївська,2023,divorce,7695.172673477162
bottom_up,region,Миколаївська,2024,divorce,7735.017336415782
bottom_up,region,Миколаївська,2025,divorce,7774.861999354402
bottom_up,region,Миколаївська,2026,divorce,7814.7066622930215
bottom_up,region,Одеська,2022,divorce,16842.550443074833
bottom_up,region,Одеська,2023,divorce,16965.83716103627
bottom_up,region,Одеська,2024,divorce,17089.123878997703
bottom_up,region,Одеська,2025,divorce,17212.41059695914
bottom_up,region,Одеська,2026,divorce,17335.697314920573
bottom_up,region,Полтавська,2022,divorce,9579.899228779997
bottom_up,region,Полтавська,2023,divorce,9676.933406523527
bottom_up,region,Полтавська,2024,divorce,9773.967584267057
bottom_up,region,Полтавська,2025,divorce,9871.001762010586
bottom_up,region,Полтавська,2026,divorce,9968.035939754116
bottom_up,region,Рівненська,2022,divorce,6141.978566960629
bottom_up,region,Рівненська,2023,divorce,6259.250578918461
bottom_up,region,Рівненська,2024,divorce,6376.522590876291
bottom_up,region,Рівненська,2025,divorce,6493.794602834123
bottom_up,region,Рівненська,2026,divorce,6611.066614791954
bottom_up,region,Севастополь,2022,divorce,-1.4689153105172534
bottom_up,region,Севастополь,2023,divorce,-2.909801182335473
bottom_up,region,Севастополь,2024,divorce,-4.350687054153692
bottom_up,region,Севастополь,2025,divorce,-5.791572925971911
bottom_up,region,Севастополь,2026,divorce,-7.23245879779013
bottom_up,region,Сумська,2022,divorce,6936.15367003552
bottom_up,region,Сумська,2023,divorce,7012.049167956617
bottom_up,region,Сумська,2024,divorce,7087.944665877713
bottom_up,region,Сумська,2025,divorce,7163.84016379881
bottom_up,region,Сумська,2026,divorce,7239.7356617199075
bottom_up,region,Тернопільська,2022,divorce,5783.942508253624
bottom_up,region,Тернопільська,2023,divorce,5897.147618322821
bottom_up,region,Тернопільська,2024,divorce,6010.352728392017
bottom_up,region,Тернопільська,2025,divorce,6123.557838461214
bottom_up,region,Тернопільська,2026,divorce,6236.7629485304105
bottom_up,region,Харківська,2022,divorce,19064.489698088302
bottom_up,region,Харківська,2023,divorce,19178.81242571448
bottom_up,region,Харківська,2024,divorce,19293.13515334066
bottom_up,region,Харківська,2025,divorce,19407.45788096684
bottom_up,region,Харківська,2026,divorce,19521.780608593017
bottom_up,region,Херсонська,2022,divorce,6612.893275628891
bottom_up,region,Херсонська,2023,divorce,6642.416053766853
bottom_up,region,Херсонська,2024,divorce,6671.938831904816
bottom_up,region,Херсонська,2025,divorce,6701.4616100427775
bottom_up,region,Херсонська,2026,divorce,6730.98438818074
bottom_up,region,Хмельницька,2022,divorce,8323.487779776637
bottom_up,region,Хмельницька,2023,divorce,8456.071155866872
bottom_up,region,Хмельницька,2024,divorce,8588.654531957105
bottom_up,region,Хмельницька,2025,divorce,8721.23790804734
bottom_up,region,Хмельницька,2026,divorce,8853.821284137573
bottom_up,region,Черкаська,2022,divorce,8085.856581395105
bottom_up,region,Черкаська,2023,divorce,8170.614546424094
bottom_up,region,Черкаська,2024,divorce,8255.372511453084
bottom_up,region,Черкаська,2025,divorce,8340.130476482074
bottom_up,region,Черкаська,2026,divorce,8424.888441511064
bottom_up,region,Чернівецька,2022,divorce,5232.810896352487
bottom_up,region,Чернівецька,2023,divorce,5308.376730030101
bottom_up,region,Чернівецька,2024,divorce,5383.942563707713
bottom_up,region,Чернівецька,2025,divorce,5459.508397385325
bottom_up,region,Чернівецька,2026,divorce,5535.074231062938
bottom_up,region,Чернігівська,2022,divorce,6731.250310471857
bottom_up,region,Чернігівська,2023,divorce,6813.320798925267
bottom_up,region,Чернігівська,2024,divorce,6895.391287378678
bottom_up,region,Чернігівська,2025,divorce,6977.461775832087
bottom_up,region,Чернігівська,2026,divorce,7059.532264285498
bottom_up,country,COUNTRY_TOTAL,2022,divorce,248575.14972907753
bottom_up,country,COUNTRY_TOTAL,2023,divorce,249980.414185729
bottom_up,country,COUNTRY_TOTAL,2024,divorce,251385.67864238043
bottom_up,country,COUNTRY_TOTAL,2025,divorce,252790.9430990319
bottom_up,country,COUNTRY_TOTAL,2026,divorce,254196.20755568336
top_down,country,COUNTRY_TOTAL,2022,divorce,246541.85342249367
top_down,country,COUNTRY_TOTAL,2023,divorce,247774.41314273616
top_down,country,COUNTRY_TOTAL,2024,divorce,249006.9728629786
top_down,country,COUNTRY_TOTAL,2025,divorce,250239.53258322107
top_down,country,COUNTRY_TOTAL,2026,divorce,251472.09230346355
top_down,region,Івано-Франківська,2022,divorce,7938.284193715526
top_down,region,Автономна Республіка Крим,2022,divorce,0.0
top_down,region,Волинська,2022,divorce,5312.494835851063
top_down,region,Вінницька,2022,divorce,10123.548476230113
top_down,region,Дніпропетровська,2022,divorce,23600.63089205042
top_down,region,Донецька,2022,divorce,12150.73542702777
top_down,region,Житомирська,2022,divorce,7770.054175311575
top_down,region,Закарпатська,2022,divorce,5643.066314380494
top_down,region,Запорізька,2022,divorce,11504.415392531957
top_down,region,Київ,2022,divorce,21486.7399969456
top_down,region,Київська,2022,divorce,13935.374692872472
top_down,region,Кіровоградська,2022,divorce,5897.898750224743
top_down,region,Луганська,2022,divorce,4188.998527065221
top_down,region,Львівська,2022,divorce,12350.13419356088
top_down,region,Миколаївська,2022,divorce,7668.730362175096
top_down,region,Одеська,2022,divorce,17031.7410786804
top_down,region,Полтавська,2022,divorce,9193.56237569891
top_down,region,Рівненська,2022,divorce,6126.740308150216
top_down,region,Севастополь,2022,divorce,0.0
top_down,region,Сумська,2022,divorce,6295.68101462226
top_down,region,Тернопільська,2022,divorce,5566.413529893479
top_down,region,Харківська,2022,divorce,19192.232805678657
top_down,region,Херсонська,2022,divorce,6565.945534230782
top_down,region,Хмельницька,2022,divorce,8168.141020309702
top_down,region,Черкаська,2022,divorce,7605.580650981821
top_down,region,Чернівецька,2022,divorce,5115.735767856579
top_down,region,Чернігівська,2022,divorce,6108.973106447927
top_down,region,Івано-Франківська,2023,divorce,7977.970799495373
top_down,region,Автономна Республіка Крим,2023,divorce,0.0
top_down,region,Волинська,2023,divorce,5339.054087587704
top_down,region,Вінницька,2023,divorce,10174.160077889244
top_down,region,Дніпропетровська,2023,divorce,23718.61973088665
top_down,region,Донецька,2023,divorce,12211.481733793838
top_down,region,Житомирська,2023,divorce,7808.899733044034
top_down,region,Закарпатська,2023,divorce,5671.278222992389
top_down,region,Запорізька,2023,divorce,11561.930491169074
top_down,region,Київ,2023,divorce,21594.160663546063
top_down,region,Київська,2023,divorce,14005.043113444808
top_down,region,Кіровоградська,2023,divorce,5927.384666440104
top_down,region,Луганська,2023,divorce,4209.940978746104
top_down,region,Львівська,2023,divorce,12411.877373208703
top_down,region,Миколаївська,2023,divorce,7707.069362302671
top_down,region,Одеська,2023,divorce,17116.889452993975
top_down,region,Полтавська,2023,divorce,9239.524610964518
top_down,region,Рівненська,2023,divorce,6157.370293344945
top_down,region,Севастополь,2023,divorce,0.0
top_down,region,Сумська,2023,divorce,6327.155600873629
top_down,region,Тернопільська,2023,divorce,5594.242221078833
top_down,region,Харківська,2023,divorce,19288.18232812042
top_down,region,Херсонська,2023,divorce,6598.771279143675
top_down,region,Хмельницька,2023,divorce,8208.97677079642
top_down,region,Черкаська,2023,divorce,7643.603940858657
top_down,region,Чернівецька,2023,divorce,5141.311343602974
top_down,region,Чернігівська,2023,divorce,6139.514266411339
top_down,region,Івано-Франківська,2024,divorce,8017.657405275219
top_down,region,Автономна Республіка Крим,2024,divorce,0.0
top_down,region,Волинська,2024,divorce,5365.613339324345
top_down,region,Вінницька,2024,divorce,10224.771679548376
top_down,region,Дніпропетровська,2024,divorce,23836.608569722874
top_down,region,Донецька,2024,divorce,12272.228040559905
top_down,region,Житомирська,2024,divorce,7847.745290776493
