currency,horizon,date,y_pred
USD,2.0,2025-06-12,41.1371031135095
USD,2.0,2025-06-13,41.1371031135095
USD,2.0,2025-06-14,41.1371031135095
USD,2.0,2025-06-15,41.1371031135095
USD,2.0,2025-06-16,41.1371031135095
USD,2.0,2025-06-17,41.1371031135095
USD,2.0,2025-06-18,41.1371031135095
USD,2.0,2025-06-19,41.1371031135095
USD,2.0,2025-06-20,41.1371031135095
USD,2.0,2025-06-21,41.1371031135095
USD,2.0,2025-06-22,41.1371031135095
USD,2.0,2025-06-23,41.1371031135095
USD,2.0,2025-06-24,41.1371031135095
USD,2.0,2025-06-25,41.1371031135095
USD,2.0,2025-06-26,41.1371031135095
USD,2.0,2025-06-27,41.1371031135095
USD,2.0,2025-06-28,41.1371031135095
USD,2.0,2025-06-29,41.1371031135095
USD,2.0,2025-06-30,41.1371031135095
USD,2.0,2025-07-01,41.1371031135095
USD,2.0,2025-07-02,41.1371031135095
USD,2.0,2025-07-03,41.1371031135095
USD,2.0,2025-07-04,41.1371031135095
USD,2.0,2025-07-05,41.1371031135095
USD,2.0,2025-07-06,41.1371031135095
USD,2.0,2025-07-07,41.1371031135095
USD,2.0,2025-07-08,41.1371031135095
USD,2.0,2025-07-09,41.1371031135095
USD,2.0,2025-07-10,41.1371031135095
USD,2.0,2025-07-11,41.1371031135095
USD,2.0,2025-07-12,41.1371031135095
USD,2.0,2025-07-13,41.1371031135095
USD,2.0,2025-07-14,41.1371031135095
USD,2.0,2025-07-15,41.1371031135095
USD,2.0,2025-07-16,41.1371031135095
USD,2.0,2025-07-17,41.1371031135095
USD,2.0,2025-07-18,41.1371031135095
USD,2.0,2025-07-19,41.1371031135095
USD,2.0,2025-07-20,41.1371031135095
USD,2.0,2025-07-21,41.1371031135095
USD,2.0,2025-07-22,41.1371031135095
USD,2.0,2025-07-23,41.1371031135095
USD,2.0,2025-07-24,41.1371031135095
USD,2.0,2025-07-25,41.1371031135095
USD,2.0,2025-07-26,41.1371031135095
USD,2.0,2025-07-27,41.1371031135095
USD,2.0,2025-07-28,41.1371031135095
USD,2.0,2025-07-29,41.1371031135095
USD,2.0,2025-07-30,41.1371031135095
USD,2.0,2025-07-31,41.1371031135095
USD,2.0,2025-08-01,41.1371031135095
USD,2.0,2025-08-02,41.1371031135095
USD,2.0,2025-08-03,41.1371031135095
USD,2.0,2025-08-04,41.1371031135095
USD,2.0,2025-08-05,41.1371031135095
USD,2.0,2025-08-06,41.1371031135095
USD,2.0,2025-08-07,41.1371031135095
USD,2.0,2025-08-08,41.1371031135095
USD,2.0,2025-08-09,41.1371031135095
USD,2.0,2025-08-10,41.1371031135095
USD,2.0,2025-08-11,41.1371031135095
USD,2.0,2025-08-12,41.1371031135095
USD,2.0,2025-08-13,41.1371031135095
USD,2.0,2025-08-14,41.1371031135095
USD,2.0,2025-08-15,41.1371031135095
USD,2.0,2025-08-16,41.1371031135095
USD,2.0,2025-08-17,41.1371031135095
USD,2.0,2025-08-18,41.1371031135095
USD,2.0,2025-08-19,41.1371031135095
USD,2.0,2025-08-20,41.1371031135095
USD,2.0,2025-08-21,41.1371031135095
USD,2.0,2025-08-22,41.1371031135095
USD,2.0,2025-08-23,41.1371031135095
USD,2.0,2025-08-24,41.1371031135095
USD,2.0,2025-08-25,41.1371031135095
USD,2.0,2025-08-26,41.1371031135095
USD,2.0,2025-08-27,41.1371031135095
USD,2.0,2025-08-28,41.1371031135095
USD,2.0,2025-08-29,41.1371031135095
USD,2.0,2025-08-30,41.1371031135095
USD,2.0,2025-08-31,41.1371031135095
USD,2.0,2025-09-01,41.1371031135095
USD,2.0,2025-09-02,41.1371031135095
USD,2.0,2025-09-03,41.1371031135095
USD,2.0,2025-09-04,41.1371031135095
USD,2.0,2025-09-05,41.1371031135095
USD,2.0,2025-09-06,41.1371031135095
USD,2.0,2025-09-07,41.1371031135095
USD,2.0,2025-09-08,41.1371031135095
USD,2.0,2025-09-09,41.1371031135095
USD,2.0,2025-09-10,41.1371031135095
USD,2.0,2025-09-11,41.1371031135095
USD,2.0,2025-09-12,41.1371031135095
USD,2.0,2025-09-13,41.1371031135095
USD,2.0,2025-09-14,41.1371031135095
USD,2.0,2025-09-15,41.1371031135095
USD,2.0,2025-09-16,41.1371031135095
USD,2.0,2025-09-17,41.1371031135095
USD,2.0,2025-09-18,41.1371031135095
USD,2.0,2025-09-19,41.1371031135095
USD,2.0,2025-09-20,41.1371031135095
USD,2.0,2025-09-21,41.1371031135095
USD,2.0,2025-09-22,41.1371031135095
USD,2.0,2025-09-23,41.1371031135095
USD,2.0,2025-09-24,41.1371031135095
USD,2.0,2025-09-25,41.1371031135095
USD,2.0,2025-09-26,41.1371031135095
USD,2.0,2025-09-27,41.1371031135095
USD,2.0,2025-09-28,41.1371031135095
USD,2.0,2025-09-29,41.1371031135095
USD,2.0,2025-09-30,41.1371031135095
USD,2.0,2025-10-01,41.1371031135095
USD,2.0,2025-10-02,41.1371031135095
USD,2.0,2025-10-03,41.1371031135095
USD,2.0,2025-10-04,41.1371031135095
USD,2.0,2025-10-05,41.1371031135095
USD,2.0,2025-10-06,41.1371031135095
USD,2.0,2025-10-07,41.1371031135095
USD,2.0,2025-10-08,41.1371031135095
USD,2.0,2025-10-09,41.1371031135095
USD,2.0,2025-10-10,41.1371031135095
USD,2.0,2025-10-11,41.1371031135095
USD,2.0,2025-10-12,41.1371031135095
USD,2.0,2025-10-13,41.1371031135095
USD,2.0,2025-10-14,41.1371031135095
USD,2.0,2025-10-15,41.1371031135095
USD,2.0,2025-10-16,41.1371031135095
USD,2.0,2025-10-17,41.1371031135095
USD,2.0,2025-10-18,41.1371031135095
USD,2.0,2025-10-19,41.1371031135095
USD,2.0,2025-10-20,41.1371031135095
USD,2.0,2025-10-21,41.1371031135095
USD,2.0,2025-10-22,41.1371031135095
USD,2.0,2025-10-23,41.1371031135095
USD,2.0,2025-10-24,41.1371031135095
USD,2.0,2025-10-25,41.1371031135095
USD,2.0,2025-10-26,41.1371031135095
USD,2.0,2025-10-27,41.1371031135095
USD,2.0,2025-10-28,41.1371031135095
USD,2.0,2025-10-29,41.1371031135095
USD,2.0,2025-10-30,41.1371031135095
USD,2.0,2025-10-31,41.1371031135095
USD,2.0,2025-11-01,41.1371031135095
USD,2.0,2025-11-02,41.1371031135095
USD,2.0,2025-11-03,41.1371031135095
USD,2.0,2025-11-04,41.1371031135095
USD,2.0,2025-11-05,41.1371031135095
USD,2.0,2025-11-06,41.1371031135095
USD,2.0,2025-11-07,41.1371031135095
USD,2.0,2025-11-08,41.1371031135095
USD,2.0,2025-11-09,41.1371031135095
USD,2.0,2025-11-10,41.1371031135095
USD,2.0,2025-11-11,41.1371031135095
USD,2.0,2025-11-12,41.1371031135095
USD,2.0,2025-11-13,41.1371031135095
USD,2.0,2025-11-14,41.1371031135095
USD,2.0,2025-11-15,41.1371031135095
USD,2.0,2025-11-16,41.1371031135095
