date,USD,EUR,RUB
2024-08-19,41.211,45.2991,0.46377
2024-08-20,41.3027,45.6085,0.45917
2024-08-21,41.3459,45.8195,0.45329
2024-08-22,41.2975,45.898,0.4511
2024-08-23,41.2881,45.9826,0.45224
2024-08-24,41.2881,45.9826,0.45224
2024-08-25,41.2881,45.9826,0.45224
2024-08-26,41.2236,45.8406,0.4509
2024-08-27,41.3591,46.1816,0.45216
2024-08-28,41.3008,46.1041,0.4519
2024-08-29,41.2508,45.8791,0.45238
2024-08-30,41.1901,45.7045,0.45051
2024-08-31,41.1901,45.7045,0.45051
2024-09-01,41.1901,45.7045,0.45051
2024-09-02,41.0592,45.5018,0.4505
2024-09-03,41.0976,45.4622,0.45843
2024-09-04,41.264,45.5431,0.46711
2024-09-05,41.2766,45.6065,0.46157
2024-09-06,41.089,45.5882,0.45905
2024-09-07,41.089,45.5882,0.45905
2024-09-08,41.089,45.5882,0.45905
2024-09-09,41.0168,45.5574,0.45638
2024-09-10,41.0948,45.383,0.45293
2024-09-11,41.14,45.3774,0.45157
2024-09-12,41.1855,45.4894,0.45183
2024-09-13,41.2743,45.4595,0.45138
2024-09-14,41.2743,45.4595,0.45138
2024-09-15,41.2743,45.4595,0.45138
2024-09-16,41.3171,45.7959,0.45307
2024-09-17,41.3591,46.0079,0.45387
2024-09-18,41.41,46.1245,0.45386
2024-09-19,41.4508,46.1099,0.45174
2024-09-20,41.4445,46.2396,0.44573
2024-09-21,41.4445,46.2396,0.44573
2024-09-22,41.4445,46.2396,0.44573
2024-09-23,41.3481,46.1486,0.44635
2024-09-24,41.3567,45.9928,0.44502
2024-09-25,41.3744,46.0414,0.44413
2024-09-26,41.2647,46.1958,0.44566
2024-09-27,41.2085,45.9598,0.44384
2024-09-28,41.2085,45.9598,0.44384
2024-09-29,41.2085,45.9598,0.44384
2024-09-30,41.1664,45.9541,0.44327
2024-10-01,41.2199,46.1539,0.44297
2024-10-02,41.2476,45.7106,0.44108
2024-10-03,41.2755,45.7147,0.43663
2024-10-04,41.2202,45.5236,0.43283
2024-10-05,41.2202,45.5236,0.43283
2024-10-06,41.2202,45.5236,0.43283
2024-10-07,41.1859,45.4322,0.43274
2024-10-08,41.1961,45.221,0.42736
2024-10-09,41.1756,45.2437,0.4259
2024-10-10,41.1934,45.1274,0.42318
2024-10-11,41.2072,45.0477,0.42312
2024-10-12,41.2072,45.0477,0.42312
2024-10-13,41.2072,45.0477,0.42312
2024-10-14,41.1891,45.0238,0.42927
2024-10-15,41.1963,44.9575,0.4281
2024-10-16,41.2139,44.9232,0.42445
2024-10-17,41.2256,44.9132,0.42482
2024-10-18,41.2351,44.7937,0.42467
2024-10-19,41.2351,44.7937,0.42467
2024-10-20,41.2351,44.7937,0.42467
2024-10-21,41.2308,44.7272,0.42785
2024-10-22,41.2833,44.813,0.4292
2024-10-23,41.3313,44.7081,0.42793
2024-10-24,41.2739,44.4355,0.42717
2024-10-25,41.263,44.5413,0.42572
2024-10-26,41.263,44.5413,0.42572
2024-10-27,41.263,44.5413,0.42572
2024-10-28,41.3135,44.7136,0.42782
2024-10-29,41.3292,44.6975,0.42499
2024-10-30,41.3798,44.6074,0.42611
2024-10-31,41.279,44.635,0.42545
2024-11-01,41.2194,44.8467,0.4245
2024-11-02,41.2194,44.8467,0.4245
2024-11-03,41.2194,44.8467,0.4245
2024-11-04,41.2891,44.968,0.4224
2024-11-05,41.3954,45.1417,0.41883
2024-11-06,41.4375,45.1503,0.42621
2024-11-07,41.4562,44.3374,0.42221
2024-11-08,41.3589,44.5642,0.42268
2024-11-09,41.3589,44.5642,0.42268
2024-11-10,41.3589,44.5642,0.42268
2024-11-11,41.2982,44.4864,0.42366
2024-11-12,41.2981,43.9949,0.42256
2024-11-13,41.3763,43.9416,0.42246
2024-11-14,41.3413,43.9499,0.41991
2024-11-15,41.2446,43.4677,0.41358
2024-11-16,41.2446,43.4677,0.41358
2024-11-17,41.2446,43.4677,0.41358
2024-11-18,41.2796,43.6532,0.41416
2024-11-19,41.3715,43.6345,0.41341
2024-11-20,41.331,43.691,0.4117
2024-11-21,41.2533,43.5635,0.41119
2024-11-22,41.286,43.4659,0.40977
2024-11-23,41.286,43.4659,0.40977
2024-11-24,41.286,43.4659,0.40977
2024-11-25,41.3193,42.9927,0.40192
2024-11-26,41.4387,43.4733,0.39922
2024-11-27,41.5035,43.6824,0.39394
2024-11-28,41.601,43.8017,0.36979
2024-11-29,41.5956,43.8626,0.383
2024-11-30,41.5956,43.8626,0.383
2024-12-01,41.5956,43.8626,0.383
2024-12-02,41.5847,43.901,0.39231
2024-12-03,41.6461,43.7242,0.39288
2024-12-04,41.6972,43.8238,0.39387
2024-12-05,41.6628,43.7043,0.39982
2024-12-06,41.5975,43.8146,0.41264
2024-12-07,41.5975,43.8146,0.41264
2024-12-08,41.5975,43.8146,0.41264
2024-12-09,41.4446,43.8567,0.41864
2024-12-10,41.5093,43.8525,0.4149
2024-12-11,41.6119,43.8215,0.40926
2024-12-12,41.6941,43.7997,0.38516
2024-12-13,41.6588,43.7042,0.40064
2024-12-14,41.6588,43.7042,0.40064
2024-12-15,41.6588,43.7042,0.40064
2024-12-16,41.607,43.7373,0.402
2024-12-17,41.7403,43.8064,0.40295
2024-12-18,41.8271,43.9143,0.40723
2024-12-19,41.9048,43.9581,0.40556
2024-12-20,41.9292,43.577,0.40539
2024-12-21,41.9292,43.577,0.40539
2024-12-22,41.9292,43.577,0.40539
2024-12-23,41.8761,43.5114,0.40527
2024-12-24,41.991,43.6454,0.42
2024-12-25,41.9875,43.6334,0.41996
2024-12-26,41.8623,43.5159,0.41916
2024-12-27,41.8447,43.5122,0.41949
2024-12-28,41.8447,43.5122,0.41949
2024-12-29,41.8447,43.5122,0.41949
2024-12-30,41.9403,43.7479,0.39949
2024-12-31,42.039,43.9266,0.38978
2025-01-01,42.0295,43.6855,0.37488
